Skip List,Linked List
4032,6824
1792,2680
1776,2464
1472,2216
1432,2152
1480,2248
1536,2272
1512,2232
1536,2264
1656,2376
1752,2464
1632,2352
1768,2488
1864,2584
1760,2480
1792,2504
1816,2520
18112,18992
2024,2832
1928,2664
1976,2728
1984,2704
2024,2736
2104,2832
2120,2832
2160,2880
2216,2952
2256,2976
2256,2968
2272,3008
2344,3072
2392,3128
2480,3208
2616,3336
2464,3192
2504,3216
2552,3288
2592,3328
2600,3320
2688,3424
2712,3448
2776,3504
2944,3712
11184,11928
2832,3600
2904,3624
2912,3640
2984,3696
2992,3696
3064,3792
