Skip List,Linked List
24416,82360
8552,59624
11576,62144
11544,62032
11336,61800
11360,62064
11376,61944
11392,62360
11472,62224
11400,62520
12320,63496
11608,63032
11656,63312
11864,63664
11816,63536
11928,64032
11776,63960
11712,64136
11896,64312
13152,65736
11944,64768
12120,64888
12136,65344
12216,65400
12152,65600
12176,65736
12208,66000
12224,65976
12288,66136
12240,66368
12160,66496
12144,66632
12384,67016
12296,67136
12248,67016
12296,67240
12424,67552
12632,67896
12688,68152
13088,68672
12712,68344
12640,68672
12688,68744
12696,69000
12776,69152
12856,69512
12848,69560
12944,69752
12992,69992
13144,70424
